,A_index,BIN_LABEL,C_flare,DAY,ID,K_index,LABEL,N_PAIRS,N_STATIONS,PAIRS,STATIONS,TIME,YEAR,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,network,new_regions,prn,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area
49,2,0.0,7,18,49,1,3.0,2,3,"'maecerec', 'maecalec'","'erec', 'maec', 'alec'",11580,2014,7.63915973519,37.3338836469,71.7906688748,681.286941648,32.3695381907,1.67539378347,37.7381748697,16.1669824099,1.70512235059,4.02322190734,0.0075574302069,-39.8000281468,2.8079638132,regme,2,GPS 11,130,66.5082217426,5.34821138363,114,500
50,2,0.0,7,18,50,0,3.0,2,3,"'cxecquem', 'epeccxec'","'quem', 'cxec', 'epec'",41490,2014,5.01118748436,17.4891473779,61.5645699465,342.698841288,8.76766474369,-1.20437192725,28.7187291891,32.0066770485,-1.19672577765,4.89748254805,0.00709545282179,-20.5360879381,2.41901858832,regme,2,GPS 13,130,57.1196335605,3.10892199726,114,500
51,2,0.0,7,18,51,2,3.0,2,4,"'epecquem', 'clecljec'","'clec', 'ljec', 'quem', 'epec'",6960,2014,-0.734487942743,38.9715651873,37.2788834389,238.507802855,17.2124840743,2.77662215179,28.7175556815,58.6787997023,2.79612261718,7.39460416325,0.00629086482788,-3.27839499635,0.640188207847,regme,2,GPS 20,130,32.674499913,3.87684445198,114,500
52,2,0.0,7,18,52,1,3.0,2,4,"'ececqvec', 'clecljec'","'clec', 'ljec', 'ecec', 'qvec'",82080,2014,1.3384573281,18.1206138597,87.9289032319,379.049680037,46.3047990471,10.9665949417,44.3549624334,29.260430999,11.0243863943,5.78857118146,3.66906037243,-6.40111765762,2.07337910191,regme,2,GPS 21,130,48.8182537141,5.52560184045,114,500
53,2,0.0,7,18,53,0,3.0,2,3,"'epecibec', 'epeccxec'","'ibec', 'cxec', 'epec'",32790,2014,-0.786610011166,15.190987343,68.2133151145,110.265062354,14.6970590309,5.49185438225,32.1076030957,7.42795741205,5.65444769294,5.14829003689,0.00240361009513,-1.10966135616,0.973604409344,regme,2,GPS 26,130,18.2187460379,4.10873445289,114,500
54,2,0.0,7,18,54,1,3.0,2,4,"'njecgyec', 'epeccxec'","'njec', 'gyec', 'cxec', 'epec'",16140,2014,13.8678397223,26.8438076035,66.4409489305,896.625621164,58.1943559295,-0.00291753709313,33.225020531,37.8033191812,-0.119477619964,5.89736130216,0.666604062066,-20.0948095392,4.26151186467,regme,2,GPS 28,130,119.517427997,6.27756198738,114,500
55,2,0.0,7,18,55,1,3.0,2,3,"'cxecqvec', 'cxecerec'","'erec', 'cxec', 'qvec'",19440,2014,5.90430839366,9.19480092084,66.1699009125,554.101023811,42.7742877748,0.129980876323,35.2808874159,39.0647105983,-0.22441958677,6.14208221814,0.0149707881868,-20.0948095392,4.41513406055,regme,2,GPS 28,130,106.520642849,6.9402014057,114,500
56,2,1.0,7,18,56,2,2.0,5,7,"'epecibec', 'ibeccoec', 'erecalec', 'epeccxec', 'cxectnec'","'coec', 'cxec', 'ibec', 'epec', 'erec', 'tnec', 'alec'",10440,2014,-0.581293124984,13.4109597871,60.1745292671,103.411903781,13.9847892319,8.03441758707,35.3222865691,12.5998812765,8.02750747808,6.78767363632,0.000924026959778,2.12323207595,0.292619548216,regme,2,GPS 32,130,8.07960519616,1.7787134572,114,500
57,2,0.0,7,18,57,0,3.0,2,4,"'njecgyec', 'cxecqvec'","'njec', 'qvec', 'gyec', 'cxec'",61560,2014,1.94277024085,19.0805799519,69.23330748,498.264330722,61.1422565833,5.39091588748,35.4094591054,23.7829295675,5.68883846724,2.29414666854,0.853567188718,-2.79425101231,2.7660752452,regme,2,GPS 5,130,69.1160731336,7.72202034863,114,500
58,2,0.0,7,18,58,0,3.0,4,5,"'epecibec', 'cxecqvec', 'epeccxec', 'cxectnec'","'ibec', 'qvec', 'cxec', 'tnec', 'epec'",74520,2014,-0.626038288561,9.4380255636,36.3512270862,176.056852688,24.5137786738,16.8052167681,16.7826744064,21.5409000867,16.4457384827,4.18852808572,0.328525846721,8.38313422013,1.77355152822,regme,2,GPS 6,130,26.7837411832,2.92272465173,114,500
59,2,0.0,2,19,59,2,3.0,4,5,"'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'","'erec', 'qvec', 'cxec', 'tnec', 'epec'",3060,2014,3.89231516064,17.2185395454,66.2131569828,124.297608296,27.6332536936,13.0343873117,34.2006101518,9.66007072452,12.9333095425,5.57866269712,0.00126635496694,8.38299354046,1.0777862218,regme,0,GPS 1,128,19.2643988981,3.41396110261,91,530
60,2,0.0,2,19,60,2,3.0,3,4,"'epecibec', 'epecquem', 'epeccxec'","'ibec', 'quem', 'cxec', 'epec'",450,2014,2.5265608353,33.1488020858,71.1767647673,1227.9903747,16.7535573453,2.02037638671,36.7157334648,118.683683432,1.90553622422,5.04349285395,0.00556383027555,-5.63344416306,1.5109462691,regme,0,GPS 11,128,64.9172860201,3.61884712852,91,530
