,A_index,C_flare,K_index,N_PAIRS,N_STATIONS,kurtosis_delay,kurtosis_grad,max_elevation,max_grad,max_phase_delay,mean_code_delay,mean_elevation,mean_grad,mean_phase_delay,min_elevation,min_grad,min_phase_delay,mse,new_regions,radio_flux,std_grad,std_phase,sunsplot_number,sunspot_area,bucket_grad,bucket_grad_mean,k_index_bucket,elev_min_bucket,elev_mean_bucket,elev_max_bucket,grad_elev,BIN_LABEL,LABEL,prn,network,STATIONS,PAIRS,ID,YEAR,DAY,TIME
39,4,11,4,3,5,1.68238309958,9.32521555407,34.6486422543,791.440557227,12.2877408298,8.09007376691,29.7369213804,67.3997713738,8.10633090664,8.80791345861,0.0812271481345,-3.96780097028,1.12399323913,3,129,69.5774408651,2.9095946339,95,360,4,2,3,0,1,2,41,0.0,3.0,GPS 14,regme,"'ljec', 'gzec', 'quem', 'cxec', 'epec'","'epecquem', 'ljecgzec', 'epeccxec'",35,2014,17,9030
42,4,11,1,6,7,3.46634541264,21.0014484669,69.6654761506,213.5329099,22.3273930669,11.0157960697,44.1757087604,21.312682625,10.8989956623,3.23290185391,6.52230563414e-05,4.12487414454,1.35313291755,3,129,29.0630245047,2.6086760603,95,360,3,1,1,0,2,3,32,0.0,3.0,GPS 27,regme,"'ecec', 'cxec', 'quem', 'epec', 'erec', 'qvec', 'tnec'","'cxecquem', 'cxecqvec', 'cxectnec', 'ececqvec', 'epeccxec', 'cxecerec'",38,2014,17,18540
43,4,11,1,3,5,3.0438934812,12.6164956265,66.1723357184,424.620717596,27.1251824704,-0.417372666621,33.4876853225,45.8270078627,-0.434721552643,6.29035609774,0.629111127344,-23.1717524095,3.219595477,3,129,72.938458059,5.34296513348,95,360,3,1,1,0,2,3,32,0.0,3.0,GPS 28,regme,"'njec', 'erec', 'gyec', 'cxec', 'qvec'","'cxecqvec', 'njecgyec', 'cxecerec'",39,2014,17,20580
44,4,11,1,4,5,5.72030305703,17.943309374,64.3070917976,545.511308745,59.8340286047,12.383679831,30.366713771,32.7259407056,12.4779156597,3.67799537361,0.00360064687922,-27.9561989567,3.28783660403,3,129,84.0431428484,7.01293126225,95,360,4,1,1,0,2,3,42,0.0,3.0,GPS 29,regme,"'erec', 'qvec', 'cxec', 'tnec', 'epec'","'cxecqvec', 'cxecerec', 'epeccxec', 'cxectnec'",40,2014,17,81900
48,4,11,1,2,3,0.51163304048,30.8741093424,34.9603481348,247.402771796,45.2689195283,17.8998534307,16.4934469018,25.7191168915,18.1493447181,5.51653975589,2.52606497404,9.62960360034,1.54676350287,3,129,28.5603855071,4.98147567072,95,360,3,1,1,0,1,2,31,0.0,3.0,GPS 6,regme,"'qvec', 'cxec', 'epec'","'cxecqvec', 'epeccxec'",44,2014,17,74910
49,4,11,1,2,4,-0.825109364458,0.961589510785,34.9603481348,317.967986319,45.447141941,19.5884291919,14.9607542998,123.59959498,20.2825933102,2.98724899671,1.64586903816,9.19317228995,1.9617250062,3,129,63.6982776105,5.99673714169,95,360,3,2,1,0,0,2,30,0.0,3.0,GPS 6,regme,"'quem', 'qvec', 'ecec', 'epec'","'epecquem', 'ececqvec'",45,2014,17,77160
50,2,7,2,4,6,1.31238286474,36.1116360529,65.3160956337,207.318884824,28.1466116222,13.1554020147,34.2130740114,13.2590762026,12.9240555647,2.79160168088,0.00427148830517,5.40215477816,1.9712115018,2,130,30.259116225,4.75432308074,114,500,3,1,2,0,2,3,32,0.0,3.0,GPS 1,regme,"'gyec', 'cxec', 'njec', 'epec', 'erec', 'qvec'","'cxecqvec', 'njecgyec', 'cxecerec', 'epeccxec'",46,2014,18,810
51,2,7,2,2,3,0.935948204184,6.21744422356,70.8993831746,734.880520968,16.5882710818,1.12703836093,37.3626782178,103.421757561,1.10807843111,5.61234293302,0.00978156314967,-7.05194848053,1.10676886525,2,130,75.6689542335,4.61309990293,114,500,4,2,2,0,2,3,42,0.0,3.0,GPS 11,regme,"'quem', 'cxec', 'epec'","'epecquem', 'epeccxec'",47,2014,18,6690
52,2,7,2,2,4,2.99755541956,20.8477192544,71.1696822744,626.739889134,26.1314606986,0.990079088804,36.5999963985,34.7707420034,0.742274232011,5.04499649456,0.13479583581,-35.4401322653,2.21296534241,2,130,51.8339482402,5.37663707322,114,500,4,1,2,0,2,3,42,0.0,3.0,GPS 11,regme,"'quem', 'ecec', 'ibec', 'qvec'","'quemibec', 'ececqvec'",48,2014,18,9930
53,2,7,1,2,3,7.63915973519,37.3338836469,71.7906688748,681.286941648,32.3695381907,1.67539378347,37.7381748697,16.1669824099,1.70512235059,4.02322190734,0.0075574302069,-39.8000281468,2.8079638132,2,130,66.5082217426,5.34821138363,114,500,4,1,1,0,2,3,42,0.0,3.0,GPS 11,regme,"'erec', 'maec', 'alec'","'maecerec', 'maecalec'",49,2014,18,11580
